datetime,TinTrue,ToutF,u,y,w,s_plus,s_minus,z,solve_time_ms,fallback_flag
2025-07-01 14:00:00,73.239,86.928,1,0,0,0.0,0.0,0.761,105.24,0
2025-07-01 14:05:00,73.269,87.089,1,0,0,0.0,0.0,0.731,92.06,0
2025-07-01 14:10:00,73.26,87.18,1,0,0,0.0,0.0,0.74,119.02,0
2025-07-01 14:15:00,73.403,87.152,1,0,0,0.0,0.0,0.597,114.85,0
2025-07-01 14:20:00,73.351,86.986,1,0,0,0.0,0.0,0.649,104.83,0
2025-07-01 14:25:00,73.5,86.702,1,0,0,0.0,0.0,0.5,93.52,0
2025-07-01 14:30:00,73.207,86.347,1,0,0,0.0,0.0,0.793,86.79,0
2025-07-01 14:35:00,73.319,85.989,1,0,0,0.0,0.0,0.681,106.39,0
2025-07-01 14:40:00,73.475,85.695,1,0,0,0.0,0.0,0.525,108.62,0
2025-07-01 14:45:00,73.406,85.515,1,0,0,0.0,0.0,0.594,82.64,0
2025-07-01 14:50:00,73.115,85.465,1,0,0,0.0,0.0,0.885,111.0,0
2025-07-01 14:55:00,73.405,85.529,1,0,0,0.0,0.0,0.595,115.55,0
2025-07-01 15:00:00,73.225,85.657,1,0,0,0.0,0.0,0.775,105.29,0
2025-07-01 15:05:00,73.346,85.782,1,0,0,0.0,0.0,0.654,108.13,0
2025-07-01 15:10:00,73.325,85.838,1,0,0,0.0,0.0,0.675,114.54,0
2025-07-01 15:15:00,73.454,85.775,1,0,0,0.0,0.0,0.546,117.95,0
2025-07-01 15:20:00,73.281,85.575,1,0,0,0.0,0.0,0.719,94.08,0
2025-07-01 15:25:00,72.977,85.257,1,0,0,0.0,0.0,1.023,82.37,0
2025-07-01 15:30:00,73.041,84.87,1,0,0,0.0,0.0,0.959,92.44,0
2025-07-01 15:35:00,73.349,84.48,1,0,0,0.0,0.0,0.651,86.83,0
2025-07-01 15:40:00,73.192,84.156,1,0,0,0.0,0.0,0.808,94.96,0
2025-07-01 15:45:00,73.994,83.945,0,0,1,0.0,0.0,0.006,100.16,0
2025-07-01 15:50:00,73.856,83.865,0,0,0,0.0,0.0,0.144,111.62,0
2025-07-01 15:55:00,73.695,83.9,0,0,0,0.0,0.0,0.305,118.1,0
2025-07-01 16:00:00,73.962,84.0,0,0,0,0.0,0.0,0.038,91.59,0
2025-07-01 16:05:00,73.071,84.098,1,1,0,0.0,0.0,0.929,118.08,0
2025-07-01 16:10:00,72.877,84.127,1,0,0,0.0,0.0,1.123,87.36,0
2025-07-01 16:15:00,73.487,84.038,1,0,0,0.0,0.0,0.513,97.6,0
2025-07-01 16:20:00,73.484,83.814,0,0,1,0.0,0.0,0.516,87.3,0
2025-07-01 16:25:00,73.859,83.472,0,0,0,0.0,0.0,0.141,90.43,0
2025-07-01 16:30:00,73.897,83.061,0,0,0,0.0,0.0,0.103,80.69,0
2025-07-01 16:35:00,73.772,82.65,0,0,0,0.0,0.0,0.228,89.85,0
2025-07-01 16:40:00,73.49,82.303,0,0,0,0.0,0.0,0.51,95.46,0
2025-07-01 16:45:00,73.889,82.072,0,0,0,0.0,0.0,0.111,99.89,0
2025-07-01 16:50:00,73.514,81.973,0,0,0,0.0,0.0,0.486,92.14,0
2025-07-01 16:55:00,73.522,81.989,0,0,0,0.0,0.0,0.478,80.52,0
2025-07-01 17:00:00,73.663,82.071,0,0,0,0.0,0.0,0.337,115.07,0
2025-07-01 17:05:00,73.829,82.151,0,0,0,0.0,0.0,0.171,89.44,0
2025-07-01 17:10:00,73.75,82.165,0,0,0,0.0,0.0,0.25,88.76,0
2025-07-01 17:15:00,73.821,82.061,0,0,0,0.0,0.0,0.179,80.17,0
2025-07-01 17:20:00,73.627,81.822,0,0,0,0.0,0.0,0.373,90.4,0
2025-07-01 17:25:00,73.662,81.467,0,0,0,0.0,0.0,0.338,91.0,0
2025-07-01 17:30:00,73.512,81.044,0,0,0,0.0,0.0,0.488,102.94,0
2025-07-01 17:35:00,73.63,80.621,0,0,0,0.0,0.0,0.37,100.82,0
2025-07-01 17:40:00,73.761,80.264,0,0,0,0.0,0.0,0.239,111.97,0
2025-07-01 17:45:00,73.622,80.023,0,0,0,0.0,0.0,0.378,111.13,0
2025-07-01 17:50:00,73.734,79.916,0,0,0,0.0,0.0,0.266,117.2,0
2025-07-01 17:55:00,73.572,79.925,0,0,0,0.0,0.0,0.428,101.03,0
2025-07-01 18:00:00,73.565,80.0,0,0,0,0.0,0.0,0.435,117.4,0
2025-07-01 18:05:00,73.655,80.075,0,0,0,0.0,0.0,0.345,112.65,0
2025-07-01 18:10:00,73.616,80.084,0,0,0,0.0,0.0,0.384,87.57,0
2025-07-01 18:15:00,73.73,79.977,0,0,0,0.0,0.0,0.27,107.9,0
2025-07-01 18:20:00,73.664,79.736,0,0,0,0.0,0.0,0.336,116.6,0
2025-07-01 18:25:00,73.895,79.379,0,0,0,0.0,0.0,0.105,116.12,0
2025-07-01 18:30:00,73.598,78.956,0,0,0,0.0,0.0,0.402,114.47,0
2025-07-01 18:35:00,73.593,78.533,0,0,0,0.0,0.0,0.407,105.91,0
2025-07-01 18:40:00,73.468,78.178,0,0,0,0.0,0.0,0.532,118.4,0
2025-07-01 18:45:00,73.625,77.939,0,0,0,0.0,0.0,0.375,90.0,0
2025-07-01 18:50:00,73.721,77.835,0,0,0,0.0,0.0,0.279,107.89,0
